age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
53,M,Asian,Shelton,WA,True,attack,Not fleeing,False,Letal,2015
47,M,White,Aloha,OR,False,attack,Not fleeing,False,Letal,2015
23,M,Hispanic,Wichita,KS,False,other,Not fleeing,False,Unarmed,2015
32,M,White,San Francisco,CA,True,attack,Not fleeing,False,No Letal,2015
39,M,Hispanic,Evans,CO,False,attack,Not fleeing,False,No Letal,2015
18,M,White,Guthrie,OK,False,attack,Not fleeing,False,Letal,2015
22,M,Hispanic,Chandler,AZ,False,attack,Car,False,Letal,2015
35,M,White,Assaria,KS,False,attack,Not fleeing,False,Letal,2015
34,F,White,Burlington,IA,False,other,Not fleeing,True,Unarmed,2015
47,M,Black,Knoxville,PA,False,attack,Not fleeing,False,No Letal,2015
25,M,White,Stockton,CA,False,attack,Not fleeing,False,No Letal,2015
31,M,Black,Freeport,TX,False,attack,Not fleeing,False,Letal,2015
41,M,Black,Columbus,OH,True,other,Not fleeing,False,No Letal,2015
30,M,White,Des Moines,IA,False,attack,Car,False,Letal,2015
37,M,Black,New Orleans,LA,False,attack,Foot,True,Letal,2015
28,M,White,Huntley,MT,False,undetermined,Not fleeing,False,No Letal,2015
42,M,White,Salt Lake City,UT,False,attack,Not fleeing,True,No Letal,2015
36,M,Black,Strong,AR,False,attack,Not fleeing,False,Unarmed,2015
49,M,White,Syracuse,UT,False,attack,Not fleeing,True,Letal,2015
71,M,White,England,AR,False,attack,Not fleeing,False,Letal,2015
33,M,Hispanic,El Paso,TX,False,attack,Not fleeing,False,Letal,2015
39,M,White,Arcola,IL,True,attack,Not fleeing,False,Letal,2015
23,M,Hispanic,South Gate,CA,False,attack,Not fleeing,False,Letal,2015
29,M,Hispanic,North Las Vegas,NV,False,attack,Foot,False,Letal,2015
34,M,White,Albuquerque,NM,False,attack,Foot,True,Letal,2015
43,M,White,Jourdanton,TX,True,other,Not fleeing,False,No Letal,2015
24,M,Black,St. Paul,MN,False,attack,Not fleeing,False,No Letal,2015
29,M,White,Franklin County,MO,False,attack,Not fleeing,False,No Letal,2015
34,M,Black,Chesapeake,VA,True,attack,Not fleeing,False,Letal,2015
75,M,White,Old Bridge,NJ,False,attack,Not fleeing,False,No Letal,2015
68,M,White,Lake Jackson,TX,False,attack,Not fleeing,False,Letal,2015
34,M,White,Draper,UT,False,attack,Not fleeing,True,No Letal,2015
27,M,Black,Indianapolis,IN,False,attack,Foot,False,Letal,2015
39,M,Black,Aurora,CO,False,attack,Not fleeing,False,Letal,2015
24,M,White,Bloomington,MN,True,attack,Not fleeing,False,Letal,2015
36,M,Hispanic,Fairfield,CA,True,other,Not fleeing,False,No Letal,2015
33,M,White,Evangeline Parish,LA,False,attack,Not fleeing,False,Letal,2015
41,M,White,Mabank,TX,False,attack,Car,False,Letal,2015
48,M,Other,Fremont,CA,False,other,Not fleeing,False,No Letal,2015
21,M,Black,Muskogee,OK,False,attack,Foot,True,Letal,2015
24,M,Hispanic,Los Angeles,CA,False,attack,Not fleeing,False,Letal,2015
27,M,Hispanic,Fort Worth,TX,False,attack,Not fleeing,False,No Letal,2015
32,M,White,Maricopa,AZ,True,attack,Not fleeing,False,Letal,2015
67,M,White,Gunlock,KY,True,attack,Not fleeing,False,Letal,2015
49,M,White,Weymouth,MA,False,attack,Not fleeing,False,No Letal,2015
42,M,Black,Scottsdale,AZ,False,other,Car,False,No Letal,2015
36,M,White,Hemet,CA,False,attack,Not fleeing,False,Letal,2015
36,M,Hispanic,Chapeno,TX,False,attack,Foot,False,Letal,2015
19,M,Black,St. Louis,MO,False,attack,Not fleeing,False,Letal,2015
54,M,White,Derry,NH,True,attack,Not fleeing,False,Letal,2015
25,M,Black,Sierra Blanca,TX,False,attack,Car,False,No Letal,2015
17,F,White,Longview,TX,True,other,Not fleeing,False,No Letal,2015
29,M,Black,Fort Lauderdale,FL,False,other,Not fleeing,False,No Letal,2015
56,M,Hispanic,Levelland,TX,False,other,Not fleeing,False,No Letal,2015
61,M,White,Austin,TX,True,attack,Not fleeing,False,Letal,2015
45,M,White,Rexburg,ID,False,attack,Not fleeing,False,Letal,2015
26,M,Black,Baltimore,MD,True,other,Not fleeing,False,No Letal,2015
40,M,White,Fort Worth,TX,False,attack,Not fleeing,False,Letal,2015
26,M,Hispanic,Pueblo,CO,False,attack,Car,False,Letal,2015
17,F,Hispanic,Denver,CO,False,other,Not fleeing,False,No Letal,2015
68,M,White,New Hope,MN,True,attack,Not fleeing,False,Letal,2015
24,M,Hispanic,Tahoka,TX,False,other,Car,False,Unarmed,2015
34,M,Hispanic,Wasco,CA,True,other,Not fleeing,False,No Letal,2015
39,F,White,Omaha,NE,True,attack,Not fleeing,False,No Letal,2015
26,M,Native,Phoenix,AZ,False,other,Not fleeing,False,No Letal,2015
29,M,White,Morenci,AZ,False,attack,Not fleeing,False,Letal,2015
33,M,Black,Columbus,OH,False,attack,Not fleeing,False,Letal,2015
45,M,White,Sunset,TX,False,attack,Not fleeing,False,Letal,2015
26,M,White,Rosenberg,TX,False,attack,Not fleeing,False,Letal,2015
35,M,Asian,Stockton,CA,True,attack,Not fleeing,False,No Letal,2015
31,M,White,Wyoming,MI,True,attack,Not fleeing,False,Letal,2015
42,M,White,Stillwater,OK,False,other,Foot,False,Unarmed,2015
48,M,White,Billings,MT,False,attack,Foot,False,Letal,2015
31,M,Hispanic,Houston,TX,False,attack,Not fleeing,False,Letal,2015
54,M,Black,Randallstown,MD,True,other,Not fleeing,False,No Letal,2015
59,M,White,Hummelstown,PA,False,other,Foot,False,Unarmed,2015
42,M,White,Apple Valley,CA,True,attack,Not fleeing,False,Letal,2015
17,M,White,Bay City,MI,False,attack,Not fleeing,False,Letal,2015
23,M,Black,St. Louis,MO,False,attack,Foot,False,Letal,2015
38,F,Black,Emeryville,CA,False,attack,Car,False,Letal,2015
29,M,Black,Antioch,CA,True,other,Not fleeing,False,No Letal,2015
45,M,White,Douglas,GA,True,attack,Not fleeing,False,Letal,2015
28,M,Black,Tallahassee,FL,False,attack,Not fleeing,False,Unarmed,2015
37,M,Hispanic,Orlando,FL,False,attack,Not fleeing,False,Letal,2015
28,M,Hispanic,Tempe,AZ,False,attack,Car,False,Letal,2015
28,M,Hispanic,Tempe,AZ,False,other,Not fleeing,False,Unarmed,2015
51,M,Black,Lorena,TX,False,attack,Car,False,Letal,2015
36,M,Black,Memphis,TN,False,other,Not fleeing,False,No Letal,2015
59,M,White,Chino,CA,False,other,Car,False,Letal,2015
25,M,Black,Oklahoma City,OK,False,attack,Not fleeing,False,Letal,2015
26,M,White,Calimesa,CA,False,attack,Not fleeing,False,No Letal,2015
74,M,Black,Gastonia,NC,False,attack,Not fleeing,False,Letal,2015
33,M,White,Anchorage,AK,False,attack,Car,False,Letal,2015
27,M,White,Austin,TX,False,attack,Not fleeing,False,Letal,2015
